text,credibility_score
extensively research analysis,0.98
the board of director disclose that financial problem have completely disappear,0.69
leak official document confirm suspicion,0.1
buzz,0.21
service sector growth note,0.5
insider,0.25
break : explosive report reveal enormous scandal at major bank,0.02
rumor suggest that a major technological breakthrough have occur,0.32
share,0.49
empirical,0.94
an unverified blog state that market share have increase substantially,0.38
the ceo announce during the meeting that financial problem have completely disappear,0.61
systematic review indicate,0.84
possibly,0.28
stock market freefall,0.21
a whistleblower allegedly reveal that a substantial acquisition have be finalize,0.3
verify datum indicate that all risk have be eliminate,0.63
certify,0.89
source speak on condition of anonymity that market share have increase substantially,0.32
highlight,0.53
consistent with market fundamental,0.8
insider trading opportunity,0.21
a viral post assert that quarterly earning exceed expectation,0.42
probably,0.17
astronomical profit guarantee,0.12
prove,0.74
independently audit result show,0.91
as state in the press release that a revolutionary product will change the industry forever,0.62
as document in sec filing that competitor be on the verge of collapse,0.58
unbelievable return,0.11
as state in the press release that a miraculous turnaround have occur,0.65
economic catastrophe,0.14
financial disaster,0.27
affirm,0.87
guru,0.05
the board of director disclose that success be absolutely certain,0.56
financial chaos,0.27
derive from official government statistic,0.56
unsubstantiated,0.02
inflation datum publish,0.45
suspicious,0.15
source speak on condition of anonymity that a substantial acquisition have be finalize,0.42
detail in the form 10 - k,0.61
trustworthy,0.84
authenticate,0.81
the audited financial statement show that competitor be on the verge of collapse,0.59
speculate,0.26
"company document show , the company report a 5.3 % increase in quarterly revenue , while operating expense rise by 2.1 % , compare to the same period last year .",0.96
financial armageddon,0.1
recognize,0.45
controversial,0.3
compile from mandatory disclosure,0.56
the audited financial statement show that success be absolutely certain,0.64
rigorous testing reveal miracle solution,0.28
as state in the press release that financial problem have completely disappear,0.69
state,0.48
market on the brink of,0.05
the board of director disclose that competitor be on the verge of collapse,0.67
verify datum indicate that financial problem have completely disappear,0.66
market panic,0.26
unconfirmed report indicate that significant cost reduction have be achieve,0.39
competitive advantage with market constraint,0.94
rumor suggest that production efficiency have improve dramatically,0.31
the board of director disclose that profit will increase exponentially,0.7
manufacture output report,0.52
pronounce,0.45
think to be prepare,0.44
unofficial channel suggest that debt restructuring have be complete favorably,0.34
a whistleblower allegedly reveal that a major technological breakthrough have occur,0.39
might,0.19
social medium user speculate that a new strategic partnership have be finalize,0.44
miracle,0.09
theorize by some expert,0.4
a whistleblower allegedly reveal that debt restructuring have be complete favorably,0.42
unreliable source indicate that expansion into new market be successful,0.38
as document in sec filing that success be absolutely certain,0.58
unconfirmed report indicate that a new strategic partnership have be finalize,0.37
as document in sec filing that profit will increase exponentially,0.63
accord to the official report that competitor be on the verge of collapse,0.61
unreliable source indicate that a major technological breakthrough have occur,0.31
accord to the official report that success be absolutely certain,0.63
shocking,0.3
a viral post assert that significant cost reduction have be achieve,0.41
detail,0.47
verify by external auditor,0.68
unofficial channel suggest that a substantial acquisition have be finalize,0.33
industry trend indicate,0.51
optimistic forecast with caveat,0.94
expose,0.28
press release,0.82
investor respond to news,0.53
consensus among expert,0.96
as document in sec filing that a revolutionary product will change the industry forever,0.65
as document in sec filing that a miraculous turnaround have occur,0.6
allege insider reveal that a major technological breakthrough have occur,0.34
the independent audit reveal that the stock price could triple within month,0.57
accord to an unnamed source that expansion into new market be successful,0.38
could,0.09
an unverified blog state that expansion into new market be successful,0.34
social medium user speculate that a major technological breakthrough have occur,0.41
data - drive,0.9
verify datum indicate that success be absolutely certain,0.61
accord to an unnamed source that a substantial acquisition have be finalize,0.4
extreme,0.08
statistically significant finding,0.77
both positive and negative factor,0.95
publish in the regulatory disclosure,0.67
gain temper by setback,0.89
peer - review research show,0.78
controversial theory suggest,0.16
unofficial channel suggest that production efficiency have improve dramatically,0.44
a viral post assert that a new strategic partnership have be finalize,0.36
publish financial result indicate,0.83
exclusive bombshell report,0.2
perhaps indicate,0.4
explosive,0.09
an unverified blog state that a new strategic partnership have be finalize,0.4
the independent audit reveal that competitor be on the verge of collapse,0.62
allege insider reveal that production efficiency have improve dramatically,0.39
cros - reference from multiple source,0.87
methodical analysis reveal shocking pattern,0.24
trillion - dollar industry secret,0.24
fiscal policy discuss,0.46
peer - review,0.78
confidential,0.17
mix quarterly result,0.91
manipulate,0.27
source speak on condition of anonymity that a major technological breakthrough have occur,0.42
strength and weakness,0.84
economic forecast present,0.5
multiple source corroborate,0.8
opportunity and challenge,0.97
moderate growth with concern,0.71
the truth they be hide,0.27
regulatory filing,0.73
central bank decision announce,0.46
regulatory filing confirm that market dominance be guarantee,0.67
stock market crash,0.09
income statement,0.88
secret wealth transfer,0.07
rumor suggest that significant cost reduction have be achieve,0.38
allege insider reveal that a new strategic partnership have be finalize,0.39
hoax,0.11
a whistleblower allegedly reveal that expansion into new market be successful,0.33
break,0.28
the ceo announce during the meeting that success be absolutely certain,0.63
define,0.5
the independent audit reveal that success be absolutely certain,0.61
