text,sentiment,ticker,processed_text
"The company reported strong earnings this quarter, beating analyst expectations.",1,TSLA,company reported strong earnings quarter beating analyst expectation
The stock plummeted after the company missed revenue targets.,-1,NVDA,stock plummeted company missed revenue target
The company maintained its previous guidance for the fiscal year.,0,AMZN,company maintained previous guidance fiscal year
"Profits soared by 25% year-over-year, driving the stock to new highs.",1,GOOGL,profit soared yearoveryear driving stock new high
The CEO announced layoffs affecting 15% of the workforce.,-1,META,ceo announced layoff affecting workforce
The company announced boost and improvement and boost and up and rise and rally and earnings for Q3 2023.,1,JPM,company announced boost improvement boost rise rally earnings 2023
The company showed profitable and improving and bullish for Q1 2021.,1,META,company showed profitable improving bullish 2021
The company announced grew and breakthrough and boost and strength and beat for Q2 2020.,1,META,company announced grew breakthrough boost strength beat 2020
The company announced beats and rally and boost for Q3 2022.,1,TSLA,company announced beat rally boost 2022
The company reported opportunities and progress and opportunities and grew and breakthrough and risen for Q4 2021.,1,GOOGL,company reported opportunity progress opportunity grew breakthrough risen 2021
The company showed strong and rally and opportunities and strong and improvement and strong for Q3 2023.,1,META,company showed strong rally opportunity strong improvement strong 2023
The company reported positive and rising and up for Q2 2020.,1,GOOGL,company reported positive rising 2020
The company reported exceeded and rally and profitable for Q4 2020.,1,NVDA,company reported exceeded rally profitable 2020
The company showed opportunity and growth and grew for Q1 2020.,1,GOOGL,company showed opportunity growth grew 2020
The company reported boost and raised and raised and strength and rally and boost for Q3 2023.,1,AAPL,company reported boost raised raised strength rally boost 2023
The company announced risen and rise and improvement for Q2 2023.,1,JPM,company announced risen rise improvement 2023
The company showed rally and rally and opportunity and profitable and boost and rally and beat for Q1 2022.,1,NVDA,company showed rally rally opportunity profitable boost rally beat 2022
The company showed beats and outperform and gain and progress and rise for Q3 2020.,1,AAPL,company showed beat outperform gain progress rise 2020
The company showed profitable and rising and rising and beat and rising and up and grew for Q1 2021.,1,MSFT,company showed profitable rising rising beat rising grew 2021
The company announced improvement and improvement and boost for Q2 2021.,1,JPM,company announced improvement improvement boost 2021
The company showed improve and progress and raised and positive and gains and opportunities for Q2 2022.,1,TSLA,company showed improve progress raised positive gain opportunity 2022
The company showed profitable and beats and beats for Q2 2022.,1,TSLA,company showed profitable beat beat 2022
The company reported profitable and up and raised for Q4 2020.,1,JPM,company reported profitable raised 2020
The company showed earnings and outperform and progress and strength and bullish and breakthrough and opportunities for Q3 2023.,1,JPM,company showed earnings outperform progress strength bullish breakthrough opportunity 2023
The company showed boost and breakthrough and improve for Q1 2021.,1,AMZN,company showed boost breakthrough improve 2021
The company reported bullish and strong and up and outperform and rising for Q4 2022.,1,AAPL,company reported bullish strong outperform rising 2022
The company reported improving and successful and strength and strength and exceeded for Q3 2021.,1,MSFT,company reported improving successful strength strength exceeded 2021
The company showed gains and gains and successful and higher and gains for Q2 2022.,1,MSFT,company showed gain gain successful higher gain 2022
The company reported success and outperform and earnings and growth for Q2 2022.,1,NVDA,company reported success outperform earnings growth 2022
The company reported improvement and higher and outperform and bullish and rising and improvement for Q2 2021.,1,MSFT,company reported improvement higher outperform bullish rising improvement 2021
The company reported opportunity and improving and growth and gains and up and improve for Q2 2023.,1,META,company reported opportunity improving growth gain improve 2023
The company showed gain and improvement and breakthrough and gains and risen for Q1 2021.,1,JPM,company showed gain improvement breakthrough gain risen 2021
The company announced boost and earnings and improving and successful for Q4 2021.,1,META,company announced boost earnings improving successful 2021
The company reported breakthrough and improving and breakthrough for Q4 2020.,1,META,company reported breakthrough improving breakthrough 2020
The company showed risen and exceeded and raised and growth and higher and positive and improve for Q2 2023.,1,JPM,company showed risen exceeded raised growth higher positive improve 2023
The company announced earnings and higher and gains for Q1 2020.,1,MSFT,company announced earnings higher gain 2020
The company reported risen and breakthrough and risen and growth for Q3 2023.,1,JPM,company reported risen breakthrough risen growth 2023
The company reported risen and earnings and risen and opportunity and bullish for Q2 2023.,1,AAPL,company reported risen earnings risen opportunity bullish 2023
The company showed higher and risen and higher for Q1 2023.,1,AAPL,company showed higher risen higher 2023
The company announced successful and rising and opportunity for Q3 2020.,1,AAPL,company announced successful rising opportunity 2020
The company announced exceeded and successful and rising and earnings and outperform and improvement for Q4 2022.,1,AMZN,company announced exceeded successful rising earnings outperform improvement 2022
The company reported bullish and rising and boost for Q3 2022.,1,NVDA,company reported bullish rising boost 2022
The company showed strength and strong and opportunities and earnings and gain and improve for Q4 2023.,1,MSFT,company showed strength strong opportunity earnings gain improve 2023
The company announced successful and improve and success and exceeded and earnings for Q3 2023.,1,MSFT,company announced successful improve success exceeded earnings 2023
The company showed bullish and earnings and exceeded for Q2 2020.,1,META,company showed bullish earnings exceeded 2020
The company reported opportunities and improving and strong for Q3 2020.,1,JPM,company reported opportunity improving strong 2020
The company showed gain and improving and up and up and profitable and strength for Q1 2020.,1,MSFT,company showed gain improving profitable strength 2020
The company announced earnings and successful and improvement and progress and gain for Q2 2021.,1,JPM,company announced earnings successful improvement progress gain 2021
The company showed rising and breakthrough and risen and higher and improve and beats for Q2 2020.,1,MSFT,company showed rising breakthrough risen higher improve beat 2020
The company announced opportunity and improving and growth and improve and success and beat and strength for Q2 2020.,1,MSFT,company announced opportunity improving growth improve success beat strength 2020
The company reported gains and bullish and boost for Q3 2022.,1,AMZN,company reported gain bullish boost 2022
The company showed beats and outperform and beat and raised for Q1 2023.,1,NVDA,company showed beat outperform beat raised 2023
The company announced successful and strength and raised and grew and opportunity and gain and higher for Q2 2022.,1,TSLA,company announced successful strength raised grew opportunity gain higher 2022
The company showed rally and higher and rally for Q2 2023.,1,AAPL,company showed rally higher rally 2023
The company reported gains and growth and rise and growth and opportunity for Q3 2022.,1,NVDA,company reported gain growth rise growth opportunity 2022
The company reported raised and breakthrough and improve and exceeded for Q2 2022.,1,GOOGL,company reported raised breakthrough improve exceeded 2022
The company announced improvement and exceeded and positive and raised and improving for Q3 2023.,1,MSFT,company announced improvement exceeded positive raised improving 2023
The company showed profitable and up and positive and opportunities for Q2 2020.,1,AMZN,company showed profitable positive opportunity 2020
The company reported risen and profitable and risen and risen for Q4 2022.,1,TSLA,company reported risen profitable risen risen 2022
The company reported earnings and improve and rally for Q4 2022.,1,META,company reported earnings improve rally 2022
The company announced success and up and breakthrough and opportunity and rising for Q3 2023.,1,TSLA,company announced success breakthrough opportunity rising 2023
The company showed outperform and beat and positive for Q4 2020.,1,TSLA,company showed outperform beat positive 2020
The company reported rise and opportunity and success for Q2 2022.,1,MSFT,company reported rise opportunity success 2022
The company reported outperform and progress and improving and improve and higher and grew for Q1 2020.,1,AAPL,company reported outperform progress improving improve higher grew 2020
The company reported growth and improvement and growth and gain and beat for Q2 2020.,1,NVDA,company reported growth improvement growth gain beat 2020
The company announced strong and boost and higher and earnings and rally and raised and improvement for Q2 2020.,1,TSLA,company announced strong boost higher earnings rally raised improvement 2020
The company showed improvement and beat and success and exceeded and rally for Q4 2021.,1,NVDA,company showed improvement beat success exceeded rally 2021
The company announced opportunities and successful and improving and outperform and beats for Q3 2022.,1,AMZN,company announced opportunity successful improving outperform beat 2022
The company announced growth and gain and exceeded and success for Q3 2020.,1,GOOGL,company announced growth gain exceeded success 2020
The company announced strong and risen and progress and bullish and improvement and exceeded and up for Q1 2020.,1,META,company announced strong risen progress bullish improvement exceeded 2020
The company reported profitable and rising and strength for Q1 2023.,1,AMZN,company reported profitable rising strength 2023
The company reported success and beats and boost for Q1 2022.,1,GOOGL,company reported success beat boost 2022
The company announced rise and opportunities and progress and successful for Q4 2023.,1,META,company announced rise opportunity progress successful 2023
The company showed raised and risen and beat and opportunities for Q2 2020.,1,MSFT,company showed raised risen beat opportunity 2020
The company announced successful and raised and improving and improve and gains and profitable and risen for Q3 2022.,1,GOOGL,company announced successful raised improving improve gain profitable risen 2022
The company reported strength and bullish and grew for Q3 2020.,1,GOOGL,company reported strength bullish grew 2020
The company announced rise and improving and improving and growth and gains and improve and boost for Q4 2023.,1,AMZN,company announced rise improving improving growth gain improve boost 2023
The company announced rising and bullish and grew and breakthrough for Q1 2023.,1,AMZN,company announced rising bullish grew breakthrough 2023
The company showed beat and grew and grew and gains and boost and growth for Q3 2023.,1,MSFT,company showed beat grew grew gain boost growth 2023
The company showed positive and rally and up and profitable and rise for Q1 2020.,1,AAPL,company showed positive rally profitable rise 2020
The company announced rally and raised and up for Q1 2023.,1,JPM,company announced rally raised 2023
The company announced higher and earnings and boost for Q1 2021.,1,TSLA,company announced higher earnings boost 2021
The company announced improvement and positive and risen and strong and breakthrough and gain and rising for Q4 2020.,1,JPM,company announced improvement positive risen strong breakthrough gain rising 2020
The company showed grew and gain and improving and beats and strong and rally and rally for Q3 2022.,1,META,company showed grew gain improving beat strong rally rally 2022
The company announced risen and higher and successful and opportunities and improving and earnings for Q3 2020.,1,NVDA,company announced risen higher successful opportunity improving earnings 2020
The company reported grew and positive and profitable and gains and beat and growth for Q4 2023.,1,AMZN,company reported grew positive profitable gain beat growth 2023
The company reported rally and positive and strong and strength and profitable and exceeded and grew for Q3 2022.,1,NVDA,company reported rally positive strong strength profitable exceeded grew 2022
The company reported rise and up and boost and strength and improving and beat and rising for Q4 2020.,1,NVDA,company reported rise boost strength improving beat rising 2020
The company showed gains and higher and positive and success and opportunities for Q1 2021.,1,JPM,company showed gain higher positive success opportunity 2021
The company announced improvement and earnings and gain and improve for Q3 2021.,1,JPM,company announced improvement earnings gain improve 2021
The company showed rising and positive and grew and outperform for Q1 2022.,1,GOOGL,company showed rising positive grew outperform 2022
The company reported profitable and bullish and rally and opportunities and grew and earnings for Q2 2021.,1,AAPL,company reported profitable bullish rally opportunity grew earnings 2021
The company reported rising and exceeded and improving and outperform and progress and opportunity for Q4 2022.,1,GOOGL,company reported rising exceeded improving outperform progress opportunity 2022
The company announced successful and strength and positive for Q3 2020.,1,JPM,company announced successful strength positive 2020
The company reported improvement and risen and improvement and strength for Q2 2020.,1,AAPL,company reported improvement risen improvement strength 2020
The company announced exceeded and beats and strength and strong and boost and improvement and gain for Q1 2022.,1,AMZN,company announced exceeded beat strength strong boost improvement gain 2022
The company announced grew and exceeded and improving and beat and rally for Q1 2021.,1,META,company announced grew exceeded improving beat rally 2021
The company reported beat and exceeded and risen and beat and outperform and success for Q4 2023.,1,META,company reported beat exceeded risen beat outperform success 2023
The company announced opportunities and profitable and opportunities and beats for Q2 2021.,1,AMZN,company announced opportunity profitable opportunity beat 2021
The company showed raised and beats and beat and outperform and boost and breakthrough and beat for Q2 2022.,1,JPM,company showed raised beat beat outperform boost breakthrough beat 2022
The company showed successful and beats and rising and opportunity and growth and success and beat for Q3 2021.,1,TSLA,company showed successful beat rising opportunity growth success beat 2021
The company reported successful and breakthrough and rise and beat and success and improvement for Q2 2021.,1,MSFT,company reported successful breakthrough rise beat success improvement 2021
The company reported improve and higher and improvement and strong and grew for Q1 2023.,1,AAPL,company reported improve higher improvement strong grew 2023
The company showed risen and strong and success and successful and outperform for Q3 2021.,1,MSFT,company showed risen strong success successful outperform 2021
The company showed rising and grew and higher and breakthrough and improvement and beats for Q2 2021.,1,AAPL,company showed rising grew higher breakthrough improvement beat 2021
The company reported success and growth and improving for Q4 2023.,1,GOOGL,company reported success growth improving 2023
The company reported improve and grew and opportunities and opportunity for Q3 2023.,1,AAPL,company reported improve grew opportunity opportunity 2023
The company showed strength and beats and grew and exceeded and rising for Q1 2021.,1,AAPL,company showed strength beat grew exceeded rising 2021
The company showed beat and rising and breakthrough for Q1 2022.,1,META,company showed beat rising breakthrough 2022
The company showed positive and rise and improvement for Q4 2021.,1,AAPL,company showed positive rise improvement 2021
The company showed opportunity and improvement and earnings for Q1 2021.,1,MSFT,company showed opportunity improvement earnings 2021
The company announced exceeded and improvement and up and exceeded and strong for Q2 2023.,1,AMZN,company announced exceeded improvement exceeded strong 2023
The company showed strong and earnings and opportunities and bullish and exceeded and opportunities and beat for Q3 2022.,1,MSFT,company showed strong earnings opportunity bullish exceeded opportunity beat 2022
The company showed profitable and success and beat for Q3 2022.,1,GOOGL,company showed profitable success beat 2022
The company announced beat and strength and growth and opportunities and rally and raised and higher for Q3 2021.,1,META,company announced beat strength growth opportunity rally raised higher 2021
The company showed outperform and beat and strong and risen and improving and positive and bullish for Q4 2021.,1,GOOGL,company showed outperform beat strong risen improving positive bullish 2021
The company announced boost and earnings and rise and gains and improve and successful for Q2 2021.,1,GOOGL,company announced boost earnings rise gain improve successful 2021
The company reported earnings and progress and improvement and bullish and higher and positive and improvement for Q2 2021.,1,AAPL,company reported earnings progress improvement bullish higher positive improvement 2021
The company announced success and boost and strength and profitable and beat and beats and rally for Q1 2022.,1,GOOGL,company announced success boost strength profitable beat beat rally 2022
The company reported positive and beats and higher and gains and outperform for Q4 2022.,1,MSFT,company reported positive beat higher gain outperform 2022
The company announced improve and positive and profitable and rally and gains and rising for Q1 2021.,1,GOOGL,company announced improve positive profitable rally gain rising 2021
The company announced opportunities and rally and progress and outperform and rising and outperform and gain for Q3 2023.,1,JPM,company announced opportunity rally progress outperform rising outperform gain 2023
The company reported growth and improvement and grew and opportunity and positive and profitable and breakthrough for Q4 2021.,1,META,company reported growth improvement grew opportunity positive profitable breakthrough 2021
The company announced rise and strength and grew and boost and beats and earnings for Q3 2020.,1,TSLA,company announced rise strength grew boost beat earnings 2020
The company announced bullish and rising and growth and risen and breakthrough for Q4 2022.,1,META,company announced bullish rising growth risen breakthrough 2022
The company showed outperform and improvement and improvement and earnings and outperform and breakthrough and progress for Q3 2022.,1,TSLA,company showed outperform improvement improvement earnings outperform breakthrough progress 2022
The company reported opportunities and rally and rally for Q1 2022.,1,META,company reported opportunity rally rally 2022
The company reported rally and outperform and higher for Q3 2020.,1,MSFT,company reported rally outperform higher 2020
The company announced breakthrough and progress and rising and success and positive and beats for Q3 2023.,1,AMZN,company announced breakthrough progress rising success positive beat 2023
The company showed beat and opportunities and raised and profitable and opportunities and opportunity and boost for Q1 2021.,1,MSFT,company showed beat opportunity raised profitable opportunity opportunity boost 2021
The company showed improving and risen and grew and outperform and beats for Q3 2022.,1,NVDA,company showed improving risen grew outperform beat 2022
The company showed improve and rise and risen for Q4 2023.,1,JPM,company showed improve rise risen 2023
The company announced opportunities and rising and success and bullish and opportunity and risen and gains for Q3 2021.,1,MSFT,company announced opportunity rising success bullish opportunity risen gain 2021
The company reported strength and success and gains and risen and breakthrough and successful and improving for Q1 2023.,1,TSLA,company reported strength success gain risen breakthrough successful improving 2023
The company reported outperform and exceeded and breakthrough and improving and exceeded and opportunity for Q4 2020.,1,MSFT,company reported outperform exceeded breakthrough improving exceeded opportunity 2020
The company announced opportunity and improve and strong and opportunities and improving for Q3 2022.,1,MSFT,company announced opportunity improve strong opportunity improving 2022
The company announced success and strong and exceeded and beat and strength for Q3 2023.,1,GOOGL,company announced success strong exceeded beat strength 2023
The company announced outperform and growth and beat and improving and progress for Q2 2021.,1,NVDA,company announced outperform growth beat improving progress 2021
